ogc_fid,field_1,name,hanzi,polity,location,latitude,longitude,entries,field_9,field_10,GEOMETRY,years
845,,Xue,薛 (1),Lu,Unk,35.77757000000008,117.80171999999992,"Zhuang 31.2(C); Xiang 5.7(C), 5.11(C), 9.5(C), 10.1(C), 10.7(C), 11.4(C), 11.8(C), 16.2(C), 18.4(C), 20.2(C), 22.4(C), 24.8(C), 25.3(C); Zhao 13.4(C); Ding 4.2(C). See map 2.",,,b'\x00\x01\xe6\x10\x00\x00\x017\xe6\xd0}\xc6X\xc0\xeblm\x86\xc0YD@\x017\xe6\xd0}\xc6X\xc0\xeblm\x86\xc0YD@|\x01\x00\x00\x00\x017\xe6\xd0}\xc6X\xc0\xeblm\x86\xc0YD@\xfe',"504,527,566,566,562,561,561,560,560,555,553,551,549,547,546,661"
846,,Xue .,薛 (2),"Dom, CN Ren 任.","S of Teng Co 滕縣, Shandong.",35.084021,117.164388,Yin 11.1,,,b'\x00\x01\xe6\x10\x00\x00\xb6\xf6>U\x85J]@\xaf\x96;3\xc1\x8aA@\xb6\xf6>U\x85J]@\xaf\x96;3\xc1\x8aA@|\x01\x00\x00\x00\xb6\xf6>U\x85J]@\xaf\x96;3\xc1\x8aA@\xfe',711
847,,Xuge . . Also known as Changge .,繻葛 / 長葛,Zheng,"NE of Changge Co 長葛縣, Henan.",34.2167199,113.76827,Huan 5.3.,,,b'\x00\x01\xe6\x10\x00\x00\xde\x1f\xefU+q\\@:rIz\xbd\x1bA@\xde\x1f\xefU+q\\@:rIz\xbd\x1bA@|\x01\x00\x00\x00\xde\x1f\xefU+q\\@:rIz\xbd\x1bA@\xfe',705
848,,Xuguan  (pass). .,徐關,Qi,"SW of Zibo City 淄博市, Shandong.",36.85888,118.07612,"Cheng 2.3, 17.9.",,,b'\x00\x01\xe6\x10\x00\x00\x94\xa4k&\xdf\x84]@ \x98\xa3\xc7\xefmB@\x94\xa4k&\xdf\x84]@ \x98\xa3\xc7\xefmB@|\x01\x00\x00\x00\x94\xa4k&\xdf\x84]@ \x98\xa3\xc7\xefmB@\xfe',"587,572"
849,,Xumi,胥靡,Zhou,"E of Yanshi Co 偃師縣, Henan",34.7276299,112.78965,"Xiang 18.4; Zhao 26.7; Ding 6.2, 6.5.",,,"b'\x00\x01\xe6\x10\x00\x00TR\'\xa0\x892\\@\xbe\x0b\x00\xfa""]A@TR\'\xa0\x892\\@\xbe\x0b\x00\xfa""]A@|\x01\x00\x00\x00TR\'\xa0\x892\\@\xbe\x0b\x00\xfa""]A@\xfe'","502,502,514,553"
850,,Xuqu . .,須句,Dom,"SE of Dongping Co 東平縣, Shandong.",35.92246,116.43753,"Xi 21.4, 22.2(C), 22.1, 22.7; Wen 7.2(C), 7.2",,,b'\x00\x01\xe6\x10\x00\x005A\xd4}\x00\x1c]@ \xefU+\x13\xf6A@5A\xd4}\x00\x1c]@ \xefU+\x13\xf6A@|\x01\x00\x00\x005A\xd4}\x00\x1c]@ \xefU+\x13\xf6A@\xfe',"618,618,637,636,636,636"
851,,Xun,郇,Jin,"SW of Linyi Co 臨猗縣, Shanxi",35.1447099,110.77408,Xi 24.1; Cheng 6.5,,,"b""\x00\x01\xe6\x10\x00\x006\x1f\xd7\x86\x8a\xb1[@'\xf4\x9f\xda\x85\x92A@6\x1f\xd7\x86\x8a\xb1[@'\xf4\x9f\xda\x85\x92A@|\x01\x00\x00\x006\x1f\xd7\x86\x8a\xb1[@'\xf4\x9f\xda\x85\x92A@\xfe""","583,634"
852,,Xun,鄩,Zhou,"In Gong Co 鞏縣, Henan",34.7479799,113.02206,"Zhao 23.1, 23.3",,,"b'\x00\x01\xe6\x10\x00\x00/\xa3XniA\\@]H,\xce\xbd_A@/\xa3XniA\\@]H,\xce\xbd_A@|\x01\x00\x00\x00/\xa3XniA\\@]H,\xce\xbd_A@\xfe'","517,517"
853,,Xun Road,薰隧,Zheng,Outside Gui Gate 閨門,32.1196099,93.65507,"Unk. Zhao 1.9, 2.4",,,b'\x00\x01\xe6\x10\x00\x00\xce\xa5\xb8\xaa\xeciW@\x90c\x90`O\x0f@@\xce\xa5\xb8\xaa\xeciW@\x90c\x90`O\x0f@@|\x01\x00\x00\x00\xce\xa5\xb8\xaa\xeciW@\x90c\x90`O\x0f@@\xfe',"539,538"
854,,Xuqiu,虛丘,Zhu,"In Fei Co 費縣, Shandong",35.278287,117.979969,Xi 1.5,,,b'\x00\x01\xe6\x10\x00\x00\x01\x86\xe5\xcf\xb7~]@s\xf3\x8d\xe8\x9e\xa3A@\x01\x86\xe5\xcf\xb7~]@s\xf3\x8d\xe8\x9e\xa3A@|\x01\x00\x00\x00\x01\x86\xe5\xcf\xb7~]@s\xf3\x8d\xe8\x9e\xa3A@\xfe',657
855,,Xuwushi . . .,徐吾氏,Wei,Unk,35.77757000000004,117.80172000000007,Cheng 1.1.,,,b'\x00\x01\xe6\x10\x00\x00\x017\xe6\xd0}\xc6X\xc0\xeblm\x86\xc0YD@\x017\xe6\xd0}\xc6X\xc0\xeblm\x86\xc0YD@|\x01\x00\x00\x00\x017\xe6\xd0}\xc6X\xc0\xeblm\x86\xc0YD@\xfe',588
856,,Yan,偃,Zhu,"S of Fei Co 費縣, Shandong",35.278287,117.979969,"Xi 1.8(C), 1.5",,,b'\x00\x01\xe6\x10\x00\x00\x01\x86\xe5\xcf\xb7~]@s\xf3\x8d\xe8\x9e\xa3A@\x01\x86\xe5\xcf\xb7~]@s\xf3\x8d\xe8\x9e\xa3A@|\x01\x00\x00\x00\x01\x86\xe5\xcf\xb7~]@s\xf3\x8d\xe8\x9e\xa3A@\xfe',"657,657"
857,,Yan,喦,Split between Zheng and Song,Unk,40.7011879,-99.1014292,"Ai 12.6, 13.1(C), 13.1",,,b'\x00\x01\xe6\x10\x00\x00\x017\xe6\xd0}\xc6X\xc0\xeblm\x86\xc0YD@\x017\xe6\xd0}\xc6X\xc0\xeblm\x86\xc0YD@|\x01\x00\x00\x00\x017\xe6\xd0}\xc6X\xc0\xeblm\x86\xc0YD@\xfe',"482,481,481"
858,,Yan,燕 (1),Also known as Beiyan 北燕 (Northern Yan),"Dom, CN Ji 姬 Near Beijing City 北京市.",39.904211,116.407395,Zhuang 30.3. See map 1.,,,b'\x00\x01\xe6\x10\x00\x00scz\xc2\x12\x1a]@{\xd7\xa0/\xbd\xf3C@scz\xc2\x12\x1a]@{\xd7\xa0/\xbd\xf3C@|\x01\x00\x00\x00scz\xc2\x12\x1a]@{\xd7\xa0/\xbd\xf3C@\xfe',662
859,,Yān . Also known as Nanyan (Southern Yan).  ­,燕 (2) / 南燕,"Dom, CN Ji 姞.","Yanjin Co 延津縣, Henan.",35.1419399,114.20515,Yin 5.4,,,b'\x00\x01\xe6\x10\x00\x00\x901w-!\x8d\\@\xae?.\x16+\x92A@\x901w-!\x8d\\@\xae?.\x16+\x92A@|\x01\x00\x00\x00\x901w-!\x8d\\@\xae?.\x16+\x92A@\xfe',717
860,,Yan,閻,Zhou,"Near Luoyang City 洛陽市, Henan",34.6181299,112.45402,Zhao 9.3,,,b'\x00\x01\xe6\x10\x00\x00\xb7\xee\xe6\xa9\x0e\x1d\\@\x02\x97l\xe1\x1eOA@\xb7\xee\xe6\xa9\x0e\x1d\\@\x02\x97l\xe1\x1eOA@|\x01\x00\x00\x00\xb7\xee\xe6\xa9\x0e\x1d\\@\x02\x97l\xe1\x1eOA@\xfe',531
861,,Yan . .,郔 (2),Zheng,"N of Zhengzhou City 鄭州市, Henan.",34.7472499,113.62493,"Xuan 3.2, 12.2",,,b'\x00\x01\xe6\x10\x00\x00\x84\x12f\xda\xfeg\\@:8}\xe2\xa5_A@\x84\x12f\xda\xfeg\\@:8}\xe2\xa5_A@|\x01\x00\x00\x00\x84\x12f\xda\xfeg\\@:8}\xe2\xa5_A@\xfe',"604,595"
862,,Yan,鄢 (1),Chu,"SW of Yicheng Co 宜城縣, Hubei",31.70838,112.26705,"Zhao 4.4, 13.2",,,b'\x00\x01\xe6\x10\x00\x00e\x19\xe2X\x17\x11\\@\xf6#EdX\xb5?@e\x19\xe2X\x17\x11\\@\xf6#EdX\xb5?@|\x01\x00\x00\x00e\x19\xe2X\x17\x11\\@\xf6#EdX\xb5?@\xfe',"536,527"
863,,Yan,鄢 (2),"Dom, later Zheng","N of Yanling Co 鄢陵縣, Henan",34.1023299,114.17739,"Yin 1.3(C), 1.4; Xiang 13.4; Zhao 5.4.",,,b'\x00\x01\xe6\x10\x00\x00\xcc(\x96[Z\x8b\\@\x94\xf3j%\x19\rA@\xcc(\x96[Z\x8b\\@\x94\xf3j%\x19\rA@|\x01\x00\x00\x00\xcc(\x96[Z\x8b\\@\x94\xf3j%\x19\rA@\xfe',"535,558,721,721"
864,,Yan .,甗,Qi,"Near Jiyuan City 濟南市, Shandong.",36.6849204,117.0564108,"Xi 18.3(C), 18.3",,,b'\x00\x01\xe6\x10\x00\x00\tI\x0b<\x9cC]@\x7f.\xbfx\xabWB@\tI\x0b<\x9cC]@\x7f.\xbfx\xabWB@|\x01\x00\x00\x00\tI\x0b<\x9cC]@\x7f.\xbfx\xabWB@\xfe',"640,640"
865,,Yan River,鄢,Chu,Modern Man River 蠻河,31.663274,111.98877,Huan 13.1,,,b'\x00\x01\xe6\x10\x00\x00\x05Q\xf7\x01H\xff[@\x80I*S\xcc\xa9?@\x05Q\xf7\x01H\xff[@\x80I*S\xcc\xa9?@|\x01\x00\x00\x00\x05Q\xf7\x01H\xff[@\x80I*S\xcc\xa9?@\xfe',697
866,,Yang,揚,Zhou,"Not far from Yanshi Co 偃師縣, Henan",34.7264684,112.76553,Xi 22.3; Zhao 22.5,,,b'\x00\x01\xe6\x10\x00\x00\xd7\x86\x8aq\xfe0\\@\xea\xc9\xa1\xea\xfc\\A@\xd7\x86\x8aq\xfe0\\@\xea\xc9\xa1\xea\xfc\\A@|\x01\x00\x00\x00\xd7\x86\x8aq\xfe0\\@\xea\xc9\xa1\xea\xfc\\A@\xfe',"518,636"
867,,Yang,陽 (1),Dom,"SW of Yishui Co 沂水縣, Shandong",35.7903399,118.62782,Min 2.1(C),,,b'\x00\x01\xe6\x10\x00\x00\x95\xf1\xef3.\xa8]@\xa9\x9c\x9b\xdb)\xe5A@\x95\xf1\xef3.\xa8]@\xa9\x9c\x9b\xdb)\xe5A@|\x01\x00\x00\x00\x95\xf1\xef3.\xa8]@\xa9\x9c\x9b\xdb)\xe5A@\xfe',658
868,,Yang,陽 (2),Yan,"Between Dacheng Co 大城縣 and Wen’an Co 文安縣, Hebei",38.784524,116.582115,Zhao 12.1(C).,,,b'\x00\x01\xe6\x10\x00\x00\xb5\xe0E_A%]@\xabvMHkdC@\xb5\xe0E_A%]@\xabvMHkdC@|\x01\x00\x00\x00\xb5\xe0E_A%]@\xabvMHkdC@\xfe',528
869,,Yang .,楊,,"Dom. SE of Hongdong Co 洪洞縣, Shanxi. See also Yangshi 楊氏.",36.2537399,111.67496,Xiang 29.11.,,,b'\x00\x01\xe6\x10\x00\x00\xec\x86m\x8b2\xeb[@\\\x18\x8e\x8cz B@\xec\x86m\x8b2\xeb[@\\\x18\x8e\x8cz B@|\x01\x00\x00\x00\xec\x86m\x8b2\xeb[@\\\x18\x8e\x8cz B@\xfe',542
870,,Yang . .,養,Chu,"SE of Shenqiu Co 沈丘縣, Henan.",33.4093999,115.09856,Zhao 30.3,,,"b'\x00\x01\xe6\x10\x00\x00g,\x9a\xceN\xc6\\@*\xbeF7g\xb4@@g,\x9a\xceN\xc6\\@*\xbeF7g\xb4@@|\x01\x00\x00\x00g,\x9a\xceN\xc6\\@*\xbeF7g\xb4@@\xfe'",510
871,,Yangcheng  (mountain).,陽城,,"Modern Chengshanling 城山嶺, SE of Dengfeng Co 登封縣, Henan.",34.45488,113.01869,Zhao 4.1.,,,b'\x00\x01\xe6\x10\x00\x00\xc9\xb0\x8a72A\\@`\xcd\x01\x829:A@\xc9\xb0\x8a72A\\@`\xcd\x01\x829:A@|\x01\x00\x00\x00\xc9\xb0\x8a72A\\@`\xcd\x01\x829:A@\xfe',536
872,,"Yangfan . ,",陽樊,Zhou,"Fan 樊. SE of Jiyuan Co 濟源縣, Henan.",35.0745099,112.60383,Xi 25.2; Cheng 11.5.,,,b'\x00\x01\xe6\x10\x00\x00\xff\x95\x95&\xa5&\\@7\xddW\x8a\x89\x89A@\xff\x95\x95&\xa5&\\@7\xddW\x8a\x89\x89A@|\x01\x00\x00\x00\xff\x95\x95&\xa5&\\@7\xddW\x8a\x89\x89A@\xfe',"578,633"
873,,Yanggu,陽穀,Qi,"N of Yanggu Co 陽谷縣, Shandong",36.1144699,115.7913099,"Xi 3.5(C), 3.2, 3.3, 11.2(C); Wen 16.1(C), 16.1; Xuan 18.1; Zhao 29.3; Ai 21.2",,,b'\x00\x01\xe6\x10\x00\x00\x11`G\xd2\xa4\xf2\\@.p\x1e\xf3\xa6\x0eB@\x11`G\xd2\xa4\xf2\\@.p\x1e\xf3\xa6\x0eB@|\x01\x00\x00\x00\x11`G\xd2\xa4\xf2\\@.p\x1e\xf3\xa6\x0eB@\xfe',"473,511,589,609,609,655,655,655,647"
874,,Yangguan,陽關,Lu,"On border of Lu and Qi S and slightly E of Tai’an Co 泰安縣, Shandong.",36.1999399,117.0884,"Xiang 17.3; Ding 7.2, 8.10, 9.3",,,b'\x00\x01\xe6\x10\x00\x00\xd9=yX\xa8E]@/\xd5q\xa1\x97\x19B@\xd9=yX\xa8E]@/\xd5q\xa1\x97\x19B@|\x01\x00\x00\x00\xd9=yX\xa8E]@/\xd5q\xa1\x97\x19B@\xfe',"501,500,499,554"
875,,Yangjiao,羊角,Wei,"NW of Yuncheng Co 鄆城縣, Shandong",35.4139399,115.83012,Xiang 26.14,,,b'\x00\x01\xe6\x10\x00\x00Z\xf0\xa2\xaf \xf5\\@8\x81\x8e\xfb\xfb\xb4A@Z\xf0\xa2\xaf \xf5\\@8\x81\x8e\xfb\xfb\xb4A@|\x01\x00\x00\x00Z\xf0\xa2\xaf \xf5\\@8\x81\x8e\xfb\xfb\xb4A@\xfe',545
876,,Yangliang,楊梁 / 揚梁,Song,"SE of Shangqiu Co 商丘縣, Henan",34.557344,115.621216,Xiang 16.3,,,b'\x00\x01\xe6\x10\x00\x00 \xf0\xc0\x00\xc2\xe7\\@\x98OV\x0cWGA@ \xf0\xc0\x00\xc2\xe7\\@\x98OV\x0cWGA@|\x01\x00\x00\x00 \xf0\xc0\x00\xc2\xe7\\@\x98OV\x0cWGA@\xfe',555
877,,Yangling,陽陵,Zheng,"NW of Xuchang Co 許昌縣, Henan",34.1259599,113.82272,Xiang 10.11,,,b'\x00\x01\xe6\x10\x00\x00\xf8p\xc9q\xa7t\\@\xc0\x8d9t\x1f\x10A@\xf8p\xc9q\xa7t\\@\xc0\x8d9t\x1f\x10A@|\x01\x00\x00\x00\xf8p\xc9q\xa7t\\@\xc0\x8d9t\x1f\x10A@\xfe',561
878,,Yangqiao,陽橋,Lu/Qi,"NW of Tai’an Co 泰安縣, Shandong",35.808738,117.623943,"Cheng 2.6, 2.8",,,"b""\x00\x01\xe6\x10\x00\x00\\\xe4\x9e\xae\xeeg]@'\x84\x0e\xba\x84\xe7A@\\\xe4\x9e\xae\xeeg]@'\x84\x0e\xba\x84\xe7A@|\x01\x00\x00\x00\\\xe4\x9e\xae\xeeg]@'\x84\x0e\xba\x84\xe7A@\xfe""","587,587"
879,,Yangqiu . . .,陽丘,Chu,Unk,35.777570000000104,117.80171999999985,Wen 16.4.,,,b'\x00\x01\xe6\x10\x00\x00\x017\xe6\xd0}\xc6X\xc0\xeblm\x86\xc0YD@\x017\xe6\xd0}\xc6X\xc0\xeblm\x86\xc0YD@|\x01\x00\x00\x00\x017\xe6\xd0}\xc6X\xc0\xeblm\x86\xc0YD@\xfe',609
880,,Yangxue,鍚穴,Wei,"E of Baihe Co 白河縣, Shaanxi",32.80651,110.11808,Wen 11.1,,,b'\x00\x01\xe6\x10\x00\x00\xf3\x93j\x9f\x8e\x87[@\xd0\xf2<\xb8;g@@\xf3\x93j\x9f\x8e\x87[@\xd0\xf2<\xb8;g@@|\x01\x00\x00\x00\xf3\x93j\x9f\x8e\x87[@\xd0\xf2<\xb8;g@@\xfe',614
881,,Yangzhou,陽州,Lu/Qi,"N area of Dongping Co 東平縣, Shandong",35.92246,116.43753,"Xiang 31.2; Zhao 25.5(C), 25.6; Ding 8.1, 8.5.",,,b'\x00\x01\xe6\x10\x00\x005A\xd4}\x00\x1c]@ \xefU+\x13\xf6A@5A\xd4}\x00\x1c]@ \xefU+\x13\xf6A@|\x01\x00\x00\x005A\xd4}\x00\x1c]@ \xefU+\x13\xf6A@\xfe',"500,500,515,515,540"
882,,Yanling .,延陵,,"Dom. Near Changzhou City 常州市, Jiangsu.",31.8107199,119.97365,Xiang 31.9,,,b'\x00\x01\xe6\x10\x00\x00\x07\xf0\x16HP\xfe]@e\xb7\xe0V\x8b\xcf?@\x07\xf0\x16HP\xfe]@e\xb7\xe0V\x8b\xcf?@|\x01\x00\x00\x00\x07\xf0\x16HP\xfe]@e\xb7\xe0V\x8b\xcf?@\xfe',540
883,,Yanling,鄢陵 (1),Ju,"In Linshu Co 臨沭縣, Shandong",34.9198499,118.65063,Wen 7.7,,,b'\x00\x01\xe6\x10\x00\x00\xfa\xf2\x02\xec\xa3\xa9]@L\xdd:\xa4\xbduA@\xfa\xf2\x02\xec\xa3\xa9]@L\xdd:\xa4\xbduA@|\x01\x00\x00\x00\xfa\xf2\x02\xec\xa3\xa9]@L\xdd:\xa4\xbduA@\xfe',618
884,,Yao . .,要,Zhou,"In Xin’an Co 新安縣, Henan.",34.82874,112.1111,Zhao 22.5,,,"b'\x00\x01\xe6\x10\x00\x00z\xa5,C\x1c\x07\\@\x8bq\xfe&\x14jA@z\xa5,C\x1c\x07\\@\x8bq\xfe&\x14jA@|\x01\x00\x00\x00z\xa5,C\x1c\x07\\@\x8bq\xfe&\x14jA@\xfe'",518
885,,Yao,洮,Cao,"SW of Juancheng Co 鄄城縣, Shandong",35.54971,115.59926,"Xi 8.1(C), 8.1, 31.1; Ding 14.8(C), 14.7",,,b'\x00\x01\xe6\x10\x00\x00Cs\x9dFZ\xe6\\@_$\xb4\xe5\\\xc6A@Cs\x9dFZ\xe6\\@_$\xb4\xe5\\\xc6A@|\x01\x00\x00\x00Cs\x9dFZ\xe6\\@_$\xb4\xe5\\\xc6A@\xfe',"494,494,650,650,627"
886,,Yao,殽,Jin,"NW of Luoning Co 洛寧縣, Henan",34.38757,111.68666,"Xi 32.3, 33.3; Wen 1.9, 2.1, 3.4, 14.10; Cheng 13.3; Xiang 14.1. See map 3",,,b'\x00\x01\xe6\x10\x00\x00+\xde\xc8<\xf2\xeb[@\x92t\xcd\xe4\x9b1A@+\xde\xc8<\xf2\xeb[@\x92t\xcd\xe4\x9b1A@|\x01\x00\x00\x00+\xde\xc8<\xf2\xeb[@\x92t\xcd\xe4\x9b1A@\xfe',"557,576,624,623,622,611,626,625"
887,,Yefu,冶父,Chu,"Jiangling City 江陵市, Hubei",30.04166,112.42398,Huan 13.1,,,"b'\x00\x01\xe6\x10\x00\x00\x1e\x8a\x02}""\x1b\\@&\x8d\xd1:\xaa\n>@\x1e\x8a\x02}""\x1b\\@&\x8d\xd1:\xaa\n>@|\x01\x00\x00\x00\x1e\x8a\x02}""\x1b\\@&\x8d\xd1:\xaa\n>@\xfe'",697
888,,Yejing,野井,Qi,"SE of Qihe Co 齊河縣, Shandong",36.7949199,116.76002,"Zhao 25.5, 25.6",,,b'\x00\x01\xe6\x10\x00\x00\x94\x13\xed*\xa40]@D\xb8n\xef\xbfeB@\x94\x13\xed*\xa40]@D\xb8n\xef\xbfeB@|\x01\x00\x00\x00\x94\x13\xed*\xa40]@D\xb8n\xef\xbfeB@\xfe',"515,515"
889,,"Yellow River, East Bank . . .",河東,Jin,E bank of Yellow River 黃河,36.519334,116.610556,"Xi 15.8, 17.2; Cheng 11.9.",,,"b""\x00\x01\xe6\x10\x00\x00\x1a\x18yY\x13']@\xb6\xd9X\x89yBB@\x1a\x18yY\x13']@\xb6\xd9X\x89yBB@|\x01\x00\x00\x00\x1a\x18yY\x13']@\xb6\xd9X\x89yBB@\xfe""","578,643,641"
890,,Yewang . .,野王,Jin,"Area governed by Qinyang Co 沁陽縣, Henan.",35.0875999,112.9506,Xuan 17.1.,,,b'\x00\x01\xe6\x10\x00\x00\xf7\xe4a\xa1\xd6<\\@\x02\xd18y6\x8bA@\xf7\xe4a\xa1\xd6<\\@\x02\xd18y6\x8bA@|\x01\x00\x00\x00\xf7\xe4a\xa1\xd6<\\@\x02\xd18y6\x8bA@\xfe',590
891,,Yi,夷 (1),"Chen, later Chu","SE of Bo Co 亳縣, Anhui",31.8615699,117.28565,"Xiang 1.2; Zhao 9.2(C), 9.2, 30.3, 31.4",,,b'\x00\x01\xe6\x10\x00\x00\x8e\x06\xf0\x16HR]@\xce\xb7O\xd8\x8f\xdc?@\x8e\x06\xf0\x16HR]@\xce\xb7O\xd8\x8f\xdc?@|\x01\x00\x00\x00\x8e\x06\xf0\x16HR]@\xce\xb7O\xd8\x8f\xdc?@\xfe',"531,531,510,509,570"
892,,Yi,夷 (2),Dom,"Old Zhuangwu 壯武, W of Jimo Co 即墨縣, Shandong",36.38033,120.38421,Yin 1.6; Min 2.3,,,b'\x00\x01\xe6\x10\x00\x00\xf42\x8a\xe5\x96\x18^@\x06\xd8G\xa7\xae0B@\xf42\x8a\xe5\x96\x18^@\x06\xd8G\xa7\xae0B@|\x01\x00\x00\x00\xf42\x8a\xe5\x96\x18^@\x06\xd8G\xa7\xae0B@\xfe',"658,721"
893,,Yi,夷 (3),"Lu, near Gengzong 庚宗","E of Xishui Co 泗水縣, Shandong",35.6647099,117.25216,Ai 8.2,,,b'\x00\x01\xe6\x10\x00\x00\x00W\xb2c#P]@\xe9\xe9\xc86\x15\xd5A@\x00W\xb2c#P]@\xe9\xe9\xc86\x15\xd5A@|\x01\x00\x00\x00\x00W\xb2c#P]@\xe9\xe9\xc86\x15\xd5A@\xfe',486
894,,Yi,夷 (5),"Zhou, later Jin",Unk,40.7011879,-99.1014292,"Zhuang 16.6; Wen 6.1, 6.8, 8.7; Zhao 19.5",,,b'\x00\x01\xe6\x10\x00\x00\x017\xe6\xd0}\xc6X\xc0\xeblm\x86\xc0YD@\x017\xe6\xd0}\xc6X\xc0\xeblm\x86\xc0YD@|\x01\x00\x00\x00\x017\xe6\xd0}\xc6X\xc0\xeblm\x86\xc0YD@\xfe',"521,619,619,617,676"
895,,Yi,沂,Chu,"In Zhengyang Co 正陽縣, Henan",32.6007185,114.3957831,Xuan 11.3; Ding 5.5,,,b'\x00\x01\xe6\x10\x00\x00\xcf\xb3\xa3\x82T\x99\\@\x14\xcd\x03X\xe4L@@\xcf\xb3\xa3\x82T\x99\\@\x14\xcd\x03X\xe4L@@|\x01\x00\x00\x00\xcf\xb3\xa3\x82T\x99\\@\x14\xcd\x03X\xe4L@@\xfe',"503,596"
896,,Yi,沂 (river) (1),Lu,"Flows from Yiyuan Co 沂源縣, Shandong, into Yellow River 黃河",36.0743699,118.43241,Xiang 18.3.,,,"b""\x00\x01\xe6\x10\x00\x00\xa8\x1d\xfe\x9a\xac\x9b]@E'\xf0\xf3\x84\tB@\xa8\x1d\xfe\x9a\xac\x9b]@E'\xf0\xf3\x84\tB@|\x01\x00\x00\x00\xa8\x1d\xfe\x9a\xac\x9b]@E'\xf0\xf3\x84\tB@\xfe""",553
897,,Yi,沂 (river) (2).,,"Flows from NE of Zou Co鄒縣, Shandong, into the Si 泗.",35.2910599,117.13367,"Xiang 19.1; Zhao 25.6; Ai 2.1(C), 2.1.",,,b'\x00\x01\xe6\x10\x00\x004\x9d\x9d\x0c\x8eH]@\xa9\xd6gsA\xa5A@4\x9d\x9d\x0c\x8eH]@\xa9\xd6gsA\xa5A@|\x01\x00\x00\x004\x9d\x9d\x0c\x8eH]@\xa9\xd6gsA\xa5A@\xfe',"492,492,515,552"
898,,Yi . .,翼 (1),Zhu,"SW of Huang Co 黃縣, Shandong.",37.6434499,120.47872,Yin 1.11; Zhao 23.2,,,b'\x00\x01\xe6\x10\x00\x00;\xfc5Y\xa3\x1e^@\xa7\x8e\xfa\x90\\\xd2B@;\xfc5Y\xa3\x1e^@\xa7\x8e\xfa\x90\\\xd2B@|\x01\x00\x00\x00;\xfc5Y\xa3\x1e^@\xa7\x8e\xfa\x90\\\xd2B@\xfe',"517,721"
899,,Yi,翼 (2),Jin,"SE of Yicheng Co 翼城縣, Shanxi",35.7382299,111.71836,"Yin 5.2, 5.5, 6.2; Huan 2.8, 3.1, 8.1; Cheng 18.1.",,,b'\x00\x01\xe6\x10\x00\x00K\xb08\x9c\xf9\xed[@\xf5\xb6>Q~\xdeA@K\xb08\x9c\xf9\xed[@\xf5\xb6>Q~\xdeA@|\x01\x00\x00\x00K\xb08\x9c\xf9\xed[@\xf5\xb6>Q~\xdeA@\xfe',"571,708,707,702,717,717,716"
900,,Yi . . .,繹,Zhu,Unk,35.77756999999998,117.80171999999996,Wen 13.3; Ai 4.7,,,b'\x00\x01\xe6\x10\x00\x00\x017\xe6\xd0}\xc6X\xc0\xeblm\x86\xc0YD@\x017\xe6\xd0}\xc6X\xc0\xeblm\x86\xc0YD@|\x01\x00\x00\x00\x017\xe6\xd0}\xc6X\xc0\xeblm\x86\xc0YD@\xfe',"490,612"
901,,Yili,儀栗,Zhou,Unk,35.777570000000054,117.80172000000002,"Ding 7.1, 8.2",,,b'\x00\x01\xe6\x10\x00\x00\x017\xe6\xd0}\xc6X\xc0\xeblm\x86\xc0YD@\x017\xe6\xd0}\xc6X\xc0\xeblm\x86\xc0YD@|\x01\x00\x00\x00\x017\xe6\xd0}\xc6X\xc0\xeblm\x86\xc0YD@\xfe',"501,500"
902,,Yin,尹,"Zhou, royal household","In Luoning Co 洛寧縣, Henan",34.38757,111.68666,Zhao 23.3,,,b'\x00\x01\xe6\x10\x00\x00+\xde\xc8<\xf2\xeb[@\x92t\xcd\xe4\x9b1A@+\xde\xc8<\xf2\xeb[@\x92t\xcd\xe4\x9b1A@|\x01\x00\x00\x00+\xde\xc8<\xf2\xeb[@\x92t\xcd\xe4\x9b1A@\xfe',517
903,,Yin,陰,Zhou,"N of Mengjin Co 孟津縣, Henan Same place as Pingyin 平陰 (2).",34.8257301,112.4453496,Zhao 22.5,,,b'\x00\x01\xe6\x10\x00\x00Y\xd2\x9b\x9b\x80\x1c\\@Ri\x1f\x86\xb1iA@Y\xd2\x9b\x9b\x80\x1c\\@Ri\x1f\x86\xb1iA@|\x01\x00\x00\x00Y\xd2\x9b\x9b\x80\x1c\\@Ri\x1f\x86\xb1iA@\xfe',518
904,,Yinban,陰阪,Zheng,"W of Xinzheng Co 新鄭縣, Henan",34.39603,113.73097,Xiang 9.6,,,b'\x00\x01\xe6\x10\x00\x00\xdb\x16e6\xc8n\\@\x11\x1em\x1c\xb12A@\xdb\x16e6\xc8n\\@\x11\x1em\x1c\xb12A@|\x01\x00\x00\x00\xdb\x16e6\xc8n\\@\x11\x1em\x1c\xb12A@\xfe',562
905,,Yindi,陰地,Jin,"NE of Lushi Co 廬氏縣, Henan",33.7385399,112.90802,Xuan 2.2; Ai 4.2,,,b'\x00\x01\xe6\x10\x00\x00J\x07\xeb\xff\x1c:\\@C\xa5\xb6y\x88\xde@@J\x07\xeb\xff\x1c:\\@C\xa5\xb6y\x88\xde@@|\x01\x00\x00\x00J\x07\xeb\xff\x1c:\\@C\xa5\xb6y\x88\xde@@\xfe',"490,605"
